Pre-emptive intermediate focus group,1,2015-04-10 12:36:20 UTC,Ireland,104
Vision-oriented object-oriented hub,2,2015-04-24 14:51:43 UTC,Spain,52
Virtual methodical knowledge user,3,2015-04-15 13:31:07 UTC,Dominica,40
Programmable local task-force,4,2015-04-13 16:17:04 UTC,Barbados,57
Operative attitude-oriented ability,5,2015-04-20 17:36:14 UTC,Vanuatu,145
Up-sized bi-directional installation,6,2015-04-11 16:54:22 UTC,Peru,56
Distributed mission-critical solution,7,2015-04-18 17:06:00 UTC,Bangladesh,129
Advanced full-range project,8,2015-04-17 15:33:03 UTC,Yemen,50
Diverse content-based system engine,9,2015-04-22 17:07:49 UTC,Cuba,226
Operative value-added core,10,2015-04-14 12:28:34 UTC,Togo,297
Reactive responsive interface,11,2015-04-15 16:19:11 UTC,Uganda,110
Front-line background solution,12,2015-04-27 12:03:25 UTC,Malawi,107
Digitized attitude-oriented contingency,13,2015-04-14 12:40:42 UTC,Antigua and Barbuda,69
Exclusive radical implementation,14,2015-04-08 14:29:11 UTC,Namibia,6
Up-sized systematic orchestration,15,2015-04-12 16:39:13 UTC,Costa Rica,271
Multi-lateral dedicated capacity,16,2015-04-13 15:37:37 UTC,Brunei Darussalam,168
Universal multimedia model,17,2015-04-22 14:45:03 UTC,Venezuela,270
Face to face radical leverage,18,2015-04-24 17:11:33 UTC,Sri Lanka,159
Proactive content-based function,19,2015-04-12 17:38:43 UTC,Chad,104
Advanced full-range solution,20,2015-04-17 14:45:33 UTC,Georgia,232
